common_name,total_obs,image_file
Ancula pacifica,33,data-raw/nudibranch-photos/Ancula pacifica.png
Baba's Festive Aeolid,36,data-raw/nudibranch-photos/Baba's Festive Aeolid.png
Black and White Dorid,177,data-raw/nudibranch-photos/Black and White Dorid.png
Branched Dendronotid,140,data-raw/nudibranch-photos/Branched Dendronotid.png
British Columbia Doto,65,data-raw/nudibranch-photos/British Columbia Doto.png
Cadlina jannanicholsae,1,data-raw/nudibranch-photos/Cadlina jannanicholsae.png
Catriona spadix,4,data-raw/nudibranch-photos/Catriona spadix.png
Chan's Dorid,52,data-raw/nudibranch-photos/Chan's Dorid.png
Clown Dorid,542,data-raw/nudibranch-photos/Clown Dorid.png
Cockerell's Dorid,386,data-raw/nudibranch-photos/Cockerell's Dorid.png
Colorful Aeolid,1,data-raw/nudibranch-photos/Colorful Aeolid.png
Colorful Dirona,178,data-raw/nudibranch-photos/Colorful Dirona.png
Cooper's Aeolid,4,data-raw/nudibranch-photos/Cooper's Aeolid.png
Doto urak,10,data-raw/nudibranch-photos/Doto urak.png
Elegant Aeolid,48,data-raw/nudibranch-photos/Elegant Aeolid.png
Feather Aeolid,2,data-raw/nudibranch-photos/Feather Aeolid.png
Festive Tritonid,36,data-raw/nudibranch-photos/Festive Tritonid.png
Fuzzy Onchidoris,1,data-raw/nudibranch-photos/Fuzzy Onchidoris.png
Giant Nudibranch,67,data-raw/nudibranch-photos/Giant Nudibranch.png
Green Balloon Aeolid,3,data-raw/nudibranch-photos/Green Balloon Aeolid.png
Hammerhead Doto,110,data-raw/nudibranch-photos/Hammerhead Doto.png
Hancock's Nudibranch,10,data-raw/nudibranch-photos/Hancock's Nudibranch.png
Heath's Dorid,414,data-raw/nudibranch-photos/Heath's Dorid.png
Hedgpeth's Dorid,3,data-raw/nudibranch-photos/Hedgpeth's Dorid.png
Hilton's Aeolid,471,data-raw/nudibranch-photos/Hilton's Aeolid.png
Homely Aeolid,41,data-raw/nudibranch-photos/Homely Aeolid.png
Hooded Nudibranch,10,data-raw/nudibranch-photos/Hooded Nudibranch.png
Hopkins' Rose Nudibranch,878,data-raw/nudibranch-photos/Hopkins' Rose Nudibranch.png
Horned Nudibranch,27,data-raw/nudibranch-photos/Horned Nudibranch.png
Hudson's Horned Dorid,9,data-raw/nudibranch-photos/Hudson's Horned Dorid.png
Laguna Aeolid,65,data-raw/nudibranch-photos/Laguna Aeolid.png
Los Angeles Goniodorid,14,data-raw/nudibranch-photos/Los Angeles Goniodorid.png
McDonald's Dorid,73,data-raw/nudibranch-photos/McDonald's Dorid.png
Mimic Dorid,2,data-raw/nudibranch-photos/Mimic Dorid.png
Misaki Aeolid,3,data-raw/nudibranch-photos/Misaki Aeolid.png
Modest Cadlina,39,data-raw/nudibranch-photos/Modest Cadlina.png
Monterey Dorid,695,data-raw/nudibranch-photos/Monterey Dorid.png
Nanaimo Dorid,36,data-raw/nudibranch-photos/Nanaimo Dorid.png
Noble Dorid,463,data-raw/nudibranch-photos/Noble Dorid.png
Northern Leopard Dorid,1,data-raw/nudibranch-photos/Northern Leopard Dorid.png
Odhner's Dorid,7,data-raw/nudibranch-photos/Odhner's Dorid.png
Olive's Aeolid,71,data-raw/nudibranch-photos/Olive's Aeolid.png
Opalescent Nudibranch,1115,data-raw/nudibranch-photos/Opalescent Nudibranch.png
Pacific Corambe,3,data-raw/nudibranch-photos/Pacific Corambe.png
Pink Tritonid,3,data-raw/nudibranch-photos/Pink Tritonid.png
Price's Aeolid,10,data-raw/nudibranch-photos/Price's Aeolid.png
Red Aldisa,26,data-raw/nudibranch-photos/Red Aldisa.png
Red Sponge Dorid,261,data-raw/nudibranch-photos/Red Sponge Dorid.png
Ridge-tailed Dorid,59,data-raw/nudibranch-photos/Ridge-tailed Dorid.png
Rose-pink Cuthona,6,data-raw/nudibranch-photos/Rose-pink Cuthona.png
Salt-and-pepper Doris,47,data-raw/nudibranch-photos/Salt-and-pepper Doris.png
San Diego Dorid,661,data-raw/nudibranch-photos/San Diego Dorid.png
Sandalwood Dorid,64,data-raw/nudibranch-photos/Sandalwood Dorid.png
Seal Doto,13,data-raw/nudibranch-photos/Seal Doto.png
Shiny Aeolid,17,data-raw/nudibranch-photos/Shiny Aeolid.png
Sorcerer's Dorid,83,data-raw/nudibranch-photos/Sorcerer's Dorid.png
Spanish Shawl,54,data-raw/nudibranch-photos/Spanish Shawl.png
Spotted Dorid,978,data-raw/nudibranch-photos/Spotted Dorid.png
Steinberg's Corambe,8,data-raw/nudibranch-photos/Steinberg's Corambe.png
Striped Nudibranch,2,data-raw/nudibranch-photos/Striped Nudibranch.png
Stubby Dendronotid,240,data-raw/nudibranch-photos/Stubby Dendronotid.png
Three-lined Aeolid,287,data-raw/nudibranch-photos/Three-lined Aeolid.png
Two-spotted Dorid,1,data-raw/nudibranch-photos/Two-spotted Dorid.png
Warty Shag-rug Nudibranch,140,data-raw/nudibranch-photos/Warty Shag-rug Nudibranch.png
White Dendronotus,53,data-raw/nudibranch-photos/White Dendronotus.png
White-and-orange-tipped Nudibranch,3,data-raw/nudibranch-photos/White-and-orange-tipped Nudibranch.png
White-crusted Aeolid,17,data-raw/nudibranch-photos/White-crusted Aeolid.png
White-lined Dirona,4,data-raw/nudibranch-photos/White-lined Dirona.png
White-speckled Dorid,187,data-raw/nudibranch-photos/White-speckled Dorid.png
