id,uuid,observed_on,time_observed_at,time_zone,user_id,user_name,tag_list,description,num_identification_agreements,num_identification_disagreements,place_guess,latitude,longitude,positional_accuracy,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_suborder_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_supertribe_name,taxon_tribe_name,taxon_subtribe_name,taxon_genus_name,taxon_genushybrid_name,taxon_species_name,taxon_hybrid_name,taxon_subspecies_name,taxon_variety_name,taxon_form_name
195976661,d7a13d72-2be8-4479-a81f-80900614046f,2024-01-06,2024-01-06 20:41:23 UTC,Pacific Time (US & Canada),1686132,,"","",3,0,"Monterey Bay, Pacific Grove, CA, US",36.621875,-121.910125,4,Doris montereyensis,Monterey Dorid,Mollusca,47469,Doridina,Doridoidea,Dorididae,,,,,Doris,,Doris montereyensis,,,,
196072617,18cf7808-7639-4935-8a55-0af325c94324,2024-01-07,2024-01-07 21:13:38 UTC,Pacific Time (US & Canada),6460455,"","",,1,0,"Carmel Point, Carmel-By-The-Sea, CA, USA",36.5437499833,-121.9335946441,46,Doris montereyensis,Monterey Dorid,Mollusca,47469,Doridina,Doridoidea,Dorididae,,,,,Doris,,Doris montereyensis,,,,
196162132,1e641e9b-4a06-45c8-8a81-b12fc483aa39,2024-01-08,2024-01-08 21:24:01 UTC,Pacific Time (US & Canada),7709154,"","",,3,0,"San Mateo County, CA, USA",37.520775,-122.5165666667,,Doris montereyensis,Monterey Dorid,Mollusca,47469,Doridina,Doridoidea,Dorididae,,,,,Doris,,Doris montereyensis,,,,
196163357,f327b194-ac97-4080-b79e-ee073f693881,2024-01-08,2024-01-08 22:59:00 UTC,Pacific Time (US & Canada),6650894,Cira Seyer-Ochi,"","",2,0,"North Pacific Ocean, CA, US",37.51645,-122.513625,4,Triopha maculata,Spotted Dorid,Mollusca,47110,Doridina,Polyceroidea,Polyceridae,Triophinae,,,,Triopha,,Triopha maculata,,,,
196163973,6f6f3b23-61b6-4f38-a44c-8cbf3a837fa7,2024-01-08,2024-01-08 22:40:02 UTC,Pacific Time (US & Canada),6650894,Cira Seyer-Ochi,"","",3,0,"North Pacific Ocean, CA, US",37.5174716667,-122.5141,4,Doris montereyensis,Monterey Dorid,Mollusca,47469,Doridina,Doridoidea,Dorididae,,,,,Doris,,Doris montereyensis,,,,
196164046,5fc65fb5-0d12-42e6-96a4-7de343307066,2024-01-08,2024-01-08 23:07:28 UTC,Pacific Time (US & Canada),6650894,Cira Seyer-Ochi,"","",3,0,"North Pacific Ocean, CA, US",37.5161583333,-122.5134666667,3,Hermissenda opalescens,Opalescent Nudibranch,Mollusca,494603,Cladobranchia,Aeolidioidea,Myrrhinidae,,,,,Hermissenda,,Hermissenda opalescens,,,,
196168131,ba93838a-6cac-45e8-b89f-429e4b1246a1,2024-01-08,2024-01-09 00:09:12 UTC,Pacific Time (US & Canada),2254287,Desert Daydreamer,"","",2,0,"Soquel Cove, CA, US",36.9600984086,-121.9643072551,49,Phidiana hiltoni,Hilton's Aeolid,Mollusca,48724,Cladobranchia,Aeolidioidea,Facelinidae,,,,,Phidiana,,Phidiana hiltoni,,,,
196174188,77d08423-75d5-480e-8ba0-e347f6c6e302,2024-01-08,2024-01-08 23:26:40 UTC,Pacific Time (US & Canada),1981510,Chris Hernandez,"",,2,0,"San Mateo County, CA, USA",37.52155,-122.5170805556,,Doris montereyensis,Monterey Dorid,Mollusca,47469,Doridina,Doridoidea,Dorididae,,,,,Doris,,Doris montereyensis,,,,
196178937,e88abff1-647c-49a7-b67a-0655f46ec89b,2024-01-08,2024-01-08 20:47:34 UTC,Pacific Time (US & Canada),5291941,Max Lee,"","",3,1,"North Pacific Ocean, CA, US",37.520655,-122.516695,3,Doris montereyensis,Monterey Dorid,Mollusca,47469,Doridina,Doridoidea,Dorididae,,,,,Doris,,Doris montereyensis,,,,
196180963,998d4b27-0b34-4c84-bea5-3e0a2244fee9,2024-01-08,2024-01-08 23:33:49 UTC,Pacific Time (US & Canada),537636,Carleen Armstrong,"","",3,1,"Monterey Bay, Pacific Grove, CA, US",36.6261192144,-121.9152321755,99,Peltodoris nobilis,Noble Dorid,Mollusca,48450,Doridina,Doridoidea,Discodorididae,,,,,Peltodoris,,Peltodoris nobilis,,,,
196236495,36572ab3-64df-4128-b463-f8db06a39f41,2024-01-09,2024-01-09 23:11:47 UTC,Pacific Time (US & Canada),16510,Barbara Dye,"","",2,0,"North Pacific Ocean, CA, US",37.5216763065,-122.5170295477,4,Doris montereyensis,Monterey Dorid,Mollusca,47469,Doridina,Doridoidea,Dorididae,,,,,Doris,,Doris montereyensis,,,,
196239828,fa22bde6-ffcc-4bf0-9f4e-9dc37bc81033,2024-01-09,2024-01-09 23:45:02 UTC,Pacific Time (US & Canada),5331351,Mmunozserrano,"","",3,1,"Monterey Bay, Pacific Grove, CA, US",36.6260833333,-121.9156883333,3,Peltodoris nobilis,Noble Dorid,Mollusca,48450,Doridina,Doridoidea,Discodorididae,,,,,Peltodoris,,Peltodoris nobilis,,,,
196242793,596dbf9c-366b-47f7-ae3d-ab3c04fed648,2024-01-09,2024-01-10 00:53:50 UTC,Pacific Time (US & Canada),5335362,bos__mutus,"",10-12 cm,2,0,"Santa Cruz, CA, USA",36.94925,-122.0613416667,,Peltodoris nobilis,Noble Dorid,Mollusca,48450,Doridina,Doridoidea,Discodorididae,,,,,Peltodoris,,Peltodoris nobilis,,,,
196249481,7d8e748d-4f78-4fa7-a947-6c75e4afbf8a,2024-01-09,2024-01-09 23:09:00 UTC,Pacific Time (US & Canada),1102357,Naomi Goodman,"",Three seen.,4,0,"Opal Cliffs, Santa Cruz, CA, USA",36.9602028217,-121.9642308433,4,Diaulula sandiegensis,San Diego Dorid,Mollusca,508884,Doridina,Doridoidea,Discodorididae,,,,,Diaulula,,Diaulula sandiegensis,,,,
196249559,0981e1e5-0e9a-4e9d-90d8-11cbc8ed7bd3,2024-01-09,2024-01-09 22:48:00 UTC,Pacific Time (US & Canada),1102357,Naomi Goodman,"",,4,0,"Opal Cliffs, Santa Cruz, CA, USA",36.9607233333,-121.9628466667,,Phidiana hiltoni,Hilton's Aeolid,Mollusca,48724,Cladobranchia,Aeolidioidea,Facelinidae,,,,,Phidiana,,Phidiana hiltoni,,,,
196249632,46d8ad58-2329-4424-8d5a-c82559963ee3,2024-01-09,2024-01-09 22:45:00 UTC,Pacific Time (US & Canada),1102357,Naomi Goodman,"",,4,0,"Opal Cliffs, Santa Cruz, CA, USA",36.9621427482,-121.9595670684,31,Phidiana hiltoni,Hilton's Aeolid,Mollusca,48724,Cladobranchia,Aeolidioidea,Facelinidae,,,,,Phidiana,,Phidiana hiltoni,,,,
196252038,07b5c427-7fdf-4e57-af3b-7f7372752cc8,2024-01-09,,Pacific Time (US & Canada),7685692,Our City Forest,"",Found near anemone ,4,0,"Opal Cliffs, Santa Cruz, CA, USA",36.9558173125,-121.9715267792,86,Phidiana hiltoni,Hilton's Aeolid,Mollusca,48724,Cladobranchia,Aeolidioidea,Facelinidae,,,,,Phidiana,,Phidiana hiltoni,,,,
196252127,3c3f190c-2f60-44dc-b801-c8949c909577,2024-01-09,2024-01-09 23:29:27 UTC,Pacific Time (US & Canada),7685692,Our City Forest,"","Slow moving, found alone near hermit crabs",4,0,"Opal Cliffs, Santa Cruz, CA, USA",36.9559984255,-121.9713135436,108,Diaulula sandiegensis,San Diego Dorid,Mollusca,508884,Doridina,Doridoidea,Discodorididae,,,,,Diaulula,,Diaulula sandiegensis,,,,
196252556,1e9344c5-8729-4526-b721-e345c45984f1,2024-01-09,2024-01-09 22:49:00 UTC,Pacific Time (US & Canada),1112503,Joe,"",A few seen,2,0,"Santa Cruz County, CA, USA",37.0786609913,-122.2681032624,4,Acanthodoris rhodoceras,Black and White Dorid,Mollusca,47482,Doridina,Onchidoridoidea,Onchidorididae,,,,,Acanthodoris,,Acanthodoris rhodoceras,,,,
196252557,83e39076-fc2d-4e75-ac0d-51dff0d3fb79,2024-01-09,2024-01-09 23:00:00 UTC,Pacific Time (US & Canada),1112503,Joe,"","A few seen, most of any species today.  3-4.",2,0,"Santa Cruz County, CA, USA",37.0787476567,-122.2680754356,2,Dendronotus subramosus,Stubby Dendronotid,Mollusca,47771,Cladobranchia,Dendronotoidea,Dendronotidae,,,,,Dendronotus,,Dendronotus subramosus,,,,
196252558,dc3478b1-7561-41ef-a3b8-a5bbf58085e1,2024-01-09,2024-01-09 23:02:00 UTC,Pacific Time (US & Canada),1112503,Joe,"",Just the one seen,2,0,"Santa Cruz County, CA, USA",37.0787083333,-122.2679716667,,Cadlina modesta,Modest Cadlina,Mollusca,47400,Doridina,Chromodoridoidea,Cadlinidae,,,,,Cadlina,,Cadlina modesta,,,,
